id,name,messiahLine,levitical,judge,initiallyVisible,hadCollapsedChildren,age,yearsLived,born,died,tribe,spouse,refs,tooltipRaw
1,Canaan,false,false,false,true,true,,,,,,,Genesis 10:6,"Canaan

(Genesis 10:6, 1 Chronicles 1:8)"
2,Put,false,false,false,true,false,,,,,,,Genesis 10:6,"Put

(Genesis 10:6, 1 Chronicles 1:8)

Put is the Biblical name of the person who became the modern day nation Libya."
3,Mizraim,false,false,false,true,true,,,,,,,Genesis 10:6,"Mizraim

(Genesis 10:6, 1 Chronicles 1:8)

Mizraim is the Biblical name of the person who became the modern day nation Egypt."
4,Cush,false,false,false,true,true,,,,,,,Genesis 10:6,"Cush

(Genesis 10:6, 1 Chronicles 1:8)

Cush is the Biblical name of the person who became the modern day nation Ethiopia."
5,Ham,false,false,false,true,false,,,,,,,Genesis 5:32,"Ham

(Genesis 5:32, 1 Chronicles 1:4)"
6,Japheth,false,false,false,true,true,,,,,,,Genesis 5:32,"Japheth

Lived: 2368-?? BCE (?? years)

(Genesis 5:32, 1 Chronicles 1:4)"
7,Aram,true,false,false,true,true,,,,,,,,"Aram

(1 Chronicles 7:34)"
8,Lud,false,false,false,true,false,,,,,,,Genesis 10:13,"Lud

(Genesis 10:13, 1 Chronicles 1:11)"
9,Maacah,false,false,false,true,false,,,,,,,,"Maacah

(1 Chronicles 7:15)"
10,Tahash,false,false,false,true,false,,,,,,,Genesis 10:22,"Lud

(Genesis 10:22, 1 Chronicles 1:17)"
11,Gaham,false,false,false,true,false,,,,,,,Genesis 22:24,Mother:Reumah (Genesis 22:24)
12,Tebah,false,false,false,true,false,,,,,,,Genesis 22:24,Mother:Reumah (Genesis 22:24)
13,Rachael,false,false,false,true,false,,,,,,,Genesis 29:10; Genesis 29:16,"(Genesis 29:10, Genesis 29:16)"
14,Leah,false,false,false,true,false,,,,,,,Genesis 29:10; Genesis 29:16,"Leah

(Genesis 29:10, Genesis 29:16)"
15,Laban,false,false,false,true,false,,,,,,,Genesis 24:29,"Laban

(Genesis 24:29)"
16,Rebekah,false,false,false,true,false,,,,,,,Genesis 22:23,"Rebekah

(Genesis 22:23)"
17,Bethuel,false,false,false,true,false,,,,,,,Genesis 22:22,"Bethuel

(Genesis 22:22)"
18,Jidlaph,false,false,false,true,false,,,,,,,Genesis 22:22,(Genesis 22:22)
19,Pildash,false,false,false,true,false,,,,,,,Genesis 22:22,"Pildash

(Genesis 22:22)"
20,Hazo,false,false,false,true,false,,,,,,,Genesis 22:22,(Genesis 22:22)
21,Chesed,false,false,false,true,false,,,,,,,Genesis 22:21,"Kemuel

(Genesis 22:21)"
22,Kemuel,false,false,false,true,true,,,,,,,Genesis 22:21,"Kemuel

(Genesis 22:21)"
23,Buz,false,false,false,true,false,,,,,,,Genesis 22:21,"Buz

(Genesis 22:21)"
24,Uz,false,false,false,true,false,,,,,,,Genesis 10:23,"Uz

(Genesis 10:23, 1 Chronicles 1:17)"
25,Nahor,true,false,false,true,false,,,,,,,Genesis 11:22; Luke 3:34; Genesis 11:24,"Nahor

Lived: 2075-1927 BCE (148 years)

(Genesis 11:22, 1 Chronicles 1:25-26, Luke 3:34-35, Genesis 11:24-25)"
26,Shuah,false,false,false,true,false,,,,,,,Genesis 25:1,(Genesis 25:1-2)
27,Ishbak,false,false,false,true,false,,,,,,,Genesis 25:1,(Genesis 25:1-2)
28,Midian,false,false,false,true,true,,,,,,,Genesis 25:1,(Genesis 25:1-2)
29,Medan,false,false,false,true,false,,,,,,,Genesis 25:1,"Medan

(Genesis 25:1-2)"
30,Jokshan,false,false,false,true,true,,,,,,,Genesis 25:1,"Jokshan

(Genesis 25:1-2)"
31,Zimran,false,false,false,true,false,,,,,,,Genesis 25:1,"Zimran

(Genesis 25:1-2)"
32,Dinah,false,false,false,true,false,,,,,,,Genesis 30:21,"Dinah

(Genesis 30:21, 34:1, 46:15)"
33,Shimeam,false,false,false,true,false,,,,,,,,(1 Chronicles 9:38)
34,Mikloth,false,false,false,true,false,,,,,,,Genesis 30:21,"Dinah

(Genesis 30:21, 34:1, 46:15)"
35,Zechariah,false,false,false,true,false,,,,,,,,"Zechariah

(1 Chronicles 5:7)"
36,Ahio,false,false,false,true,false,,,,,,,,"Ahio

(1 Chronicles 8:14)"
37,Gedor,false,false,false,true,false,,,,,,,,"Gedor

(1 Chronicles 4:4)"
38,Nadab,false,false,false,true,false,,,,,,,,"Nadab

(1 Chronicles 2:28)"
39,Eshbaal,false,false,false,true,false,,,,,,,,"Eshbaal

(1 Chronicles 9:39)"
40,Abinadab,false,false,false,true,false,,,,,,,,"Abinadab

(1 Chronicles 2:13)"
41,Malchi-shua,false,false,false,true,false,,,,,,,,"Malchi-shua

(1 Chronicles 9:39)"
